SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
1,ABDUL SAMAD AL QURASHI,SAFARI EXTREME,"Bergamot, Saffron, Pink Pepper","Rose, Leather, Patchouli","Oud, Amber, Musk","Safari Extreme by Abdul Samad Al Qurashi is a captivating fragrance that opens with bergamot, saffron, creating a fresh and inviting first impression. The heart reveals rose, leather, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
2,ABDUL SAMAD AL QURASHI,MUSK AL AROOS,"Aldehydes, Citrus, Bergamot","White Florals, Rose, Powdery Notes","Musk, Sandalwood, Amber","Musk Al Aroos by Abdul Samad Al Qurashi is a captivating fragrance that opens with aldehydes, citrus, creating a fresh and inviting first impression. The heart reveals white florals, rose, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
3,ABDUL SAMAD AL QURASHI,SAFARI,"Citrus, Green Notes, Mandarin","Floral Notes, Spices, Rose","Oud, Amber, Musk","Safari by Abdul Samad Al Qurashi is a captivating fragrance that opens with citrus, green notes, creating a fresh and inviting first impression. The heart reveals floral notes, spices, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
4,ABERCROMBIE & FITCH,FIERCE,"Lemon, Orange, Fir","Jasmine, Rosemary, Rose","Musk, Oakmoss, Vetiver","Fierce by Abercrombie & Fitch is a captivating fragrance that opens with lemon, orange, creating a fresh and inviting first impression. The heart reveals jasmine, rosemary, adding depth and sophistication, while the base of musk, oakmoss leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
5,AFNAN,9 PM ELIXIR,"Apple, Cinnamon, Bergamot","Lavender, Orange Blossom, Plum","Vanilla, Tonka Bean, Amber","9 Pm Elixir by Afnan is a captivating fragrance that opens with apple, cinnamon, creating a fresh and inviting first impression. The heart reveals lavender, orange blossom, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
6,AFNAN,TURATHI BLUE ELECTRIC,"Grapefruit, Citrus, Bergamot","Ginger, Lavender, Pepper","Amber, Musk, Vetiver","Turathi Blue Electric by Afnan is a captivating fragrance that opens with grapefruit, citrus, creating a fresh and inviting first impression. The heart reveals ginger, lavender, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
7,AHMED AL MAGHRIBI,SUMMER OUD,"Citrus, Saffron, Bergamot","Rose, Oud, Jasmine","Amber, Musk, Woods","Summer Oud by Ahmed Al Maghribi is a captivating fragrance that opens with citrus, saffron, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
8,AHMED AL MAGHRIBI,KAAF,"Marine Notes, Citrus, Mint","Lavender, Spices, Geranium","Musk, Amber, Woods","Kaaf by Ahmed Al Maghribi is a captivating fragrance that opens with marine notes, citrus, creating a fresh and inviting first impression. The heart reveals lavender, spices, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
9,AHMED AL MAGHRIBI,BIN SHAIKH,"Saffron, Rose, Spices","Oud, Amber, Floral","Musk, Vanilla, Resin","Bin Shaikh by Ahmed Al Maghribi is a captivating fragrance that opens with saffron, rose, creating a fresh and inviting first impression. The heart reveals oud, amber, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
10,AHMED AL MAGHRIBI,AHL,"Fruity Notes, Citrus, Saffron","Floral Notes, Rose, Jasmine","Musk, Sandalwood, Vanilla","Ahl by Ahmed Al Maghribi is a captivating fragrance that opens with fruity notes, citrus, creating a fresh and inviting first impression. The heart reveals floral notes, rose, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
11,AHMED AL MAGHRIBI,ASWAD,"Spices, Saffron, Citrus","Oud, Rose, Patchouli","Amber, Leather, Musk","Aswad by Ahmed Al Maghribi is a captivating fragrance that opens with spices, saffron, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
