SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION
1,ABDUL SAMAD AL QURASHI,SAFARI EXTREME,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Safari Extreme by Abdul Samad Al Qurashi, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
2,ABDUL SAMAD AL QURASHI,MUSK AL AROOS,"Bergamot, Aldehydes","White Floral, Powdery Notes","Musk, Sandalwood, Amber","Discover Musk Al Aroos by Abdul Samad Al Qurashi, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of white floral and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
3,ABDUL SAMAD AL QURASHI,SAFARI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Safari by Abdul Samad Al Qurashi, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
4,ABERCROMBIE & FITCH,FIERCE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Fierce by Abercrombie & Fitch, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
5,AFNAN,9 PM ELIXIR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover 9 Pm Elixir by Afnan, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
6,AFNAN,TURATHI BLUE ELECTRIC,"Lemon, Mint","Lavender, Geranium","Amberwood, Musk, Cedar","Discover Turathi Blue Electric by Afnan, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amberwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
7,AHMED AL MAGHRIBI,SUMMER OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Summer Oud by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
8,AHMED AL MAGHRIBI,KAAF,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Kaaf by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
9,AHMED AL MAGHRIBI,BIN SHAIKH,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bin Shaikh by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
10,AHMED AL MAGHRIBI,AHL,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Ahl by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal."
