SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
1,ABDUL SAMAD AL QURASHI,SAFARI EXTREME,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Safari Extreme by Abdul Samad Al Qurashi, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
2,ABDUL SAMAD AL QURASHI,MUSK AL AROOS,"Bergamot, Aldehydes","White Floral, Powdery Notes","Musk, Sandalwood, Amber","Discover Musk Al Aroos by Abdul Samad Al Qurashi, a refined fragrance crafted to make a lasting impression. It opens with bergamot and fresh accords, develops into a smooth heart of white floral and elegant spices, then settles into a rich base of musk and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
3,ABDUL SAMAD AL QURASHI,SAFARI,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Safari by Abdul Samad Al Qurashi, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
4,ABERCROMBIE & FITCH,FIERCE,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Fierce by Abercrombie & Fitch, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
5,AFNAN,9 PM ELIXIR,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover 9 Pm Elixir by Afnan, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
6,AFNAN,TURATHI BLUE ELECTRIC,"Lemon, Mint","Lavender, Geranium","Amberwood, Musk, Cedar","Discover Turathi Blue Electric by Afnan, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amberwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
7,AHMED AL MAGHRIBI,SUMMER OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Summer Oud by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
8,AHMED AL MAGHRIBI,KAAF,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Kaaf by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
9,AHMED AL MAGHRIBI,BIN SHAIKH,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Bin Shaikh by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
10,AHMED AL MAGHRIBI,AHL,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Ahl by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
11,AHMED AL MAGHRIBI,ASWAD,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Aswad by Ahmed Al Maghribi, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
12,AHMED AL MAGHRIBl,MARJ,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Marj by Ahmed Al Maghribl, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
13,AJMAL,WISAL LAYL.,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Wisal Layl. by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
14,AJMAL,MUKHALLAT KUWAITI,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Mukhallat Kuwaiti by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
15,AJMAL,DEHNAL OUDH SHAMS -,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Dehnal Oudh Shams - by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
16,AJMAL,OUD DESIRE,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Oud Desire by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
17,AJMAL,BLU,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Blu by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
18,AJMAL,AURUM,"Apple, Bergamot","Lavender, Geranium","Cedarwood, Musk, Amber","Discover Aurum by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with apple and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of cedarwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
19,AJMAL,HATKORA WOOD,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Hatkora Wood by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
20,AJMAL,AMBER WOOD,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Amber Wood by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
21,AJMAL,RAINDROP,"Lemon, Pink Pepper","Jasmine, Cardamom","Patchouli, Vetiver, Amber","Discover Raindrop by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of jasmine and elegant spices, then settles into a rich base of patchouli and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Formal / Special Occasions
22,AJMAL,SACRIFICE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Sacrifice by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
23,AJMAL,MIZYAAN,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Mizyaan by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
24,AJMAL,AMIR ONE,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Amir One by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
25,AJMAL,KHOFOOQ,"Mandarin, Pear","Rose, Orange Blossom","Vanilla, Musk, Sandalwood","Discover Khofooq by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with mandarin and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of vanilla and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
26,AJMAL,BLUE MOON,"Lemon, Mint","Lavender, Geranium","Amberwood, Musk, Cedar","Discover Blue Moon by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with lemon and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of amberwood and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Gym / Casual
27,AJMAL,DUBAI OUD,"Saffron, Bergamot","Rose, Jasmine","Oud, Amber, Musk","Discover Dubai Oud by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with saffron and fresh accords, develops into a smooth heart of rose and elegant spices, then settles into a rich base of oud and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Date Night / Evening
28,AJMAL,QASIDA,"Grapefruit, Mint","Lavender, Sage","Tonka Bean, Cedar, Musk","Discover Qasida by Ajmal, a refined fragrance crafted to make a lasting impression. It opens with grapefruit and fresh accords, develops into a smooth heart of lavender and elegant spices, then settles into a rich base of tonka bean and warm woods. Perfect for daily wear or special occasions with long-lasting appeal.",Office / Daily
